sp_id,experiment_id,block,block_id,method_family,method_variant,method,architecture,dynamic_id,fitness_id,rounding_id,world_seed,method_seed,train_seed,N,K,load_ratio,geometry_id,R,mean_degree,min_degree,lambda2,num_components,diameter,success,matching_valid,coverage,social_cost,social_regret,normalized_regret,cost_gap,makespan_proxy,convergence_time,timeout,messages,bytes,runtime_cpu,runtime_wall,oracle_solve_time,oracle_lookup_time,method_online_time,memory_peak,epsilon_ne_1,epsilon_ne_2,fractionality,switches,potential_violations,occupancy_error,training_steps,training_converged,config_hash,world_hash,git_hash,timestamp_utc,assigned_count,bytes_to_epsilon_solution,closure_applied,closure_messages,closure_regret_delta,closure_runtime_s,closure_success,closure_type,closure_vs_preclosure_regret_delta,continuous_converged,continuous_equilibrium_reached,continuous_normalized_regret,continuous_objective,continuous_timeout,equilibrium_residual,equilibrium_residual_id,final_success,final_vs_continuous_regret_delta,global_strong_closure,largest_negative_delta,maximum_cardinality,median_potential_delta,messages_to_epsilon_solution,method_online_time_s,observed_poa_ratio,oracle_j,oracle_lookup_time_s,oracle_social_cost,oracle_solve_time_s,p01_potential_delta,p95_individual_cost,preclosure_coverage,preclosure_matching_valid,preclosure_normalized_regret,preclosure_objective,price_of_integrality,runtime_cpu_s,runtime_wall_s,simulation_end_time_s,state_change,time_to_epsilon_duration_s,time_to_epsilon_observed,time_to_epsilon_solution
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_nominal,smoke_nominal,population,HYB,HYB,distributed_global,HYB,ASYM,QR2,9000,,,8,8,1.0,G-UNI,6.791152466024171,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.584333169770187,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.5064351645327043,,True,3376,108032,0.020998300053179264,0.020998300053179264,0.0,0.0,0.020998300053179264,0.00152587890625,0.0,0.0,0.7033158452876972,7,15,0.0,,,2c61e01e402866a5,2d2d83a550bf3507,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,108032.0,True,16,-0.6651187878554394,0.002771100029349327,True,QR2,-0.6651187878554394,False,False,0.2037248497853698,17.882321152599772,True,0.0831434223172682,hybrid_smith_phase_vector_field,True,-0.2037248497853698,False,-0.008228866698154036,True,0.0017843997513025123,3376.0,0.020998300053179264,1.0,1.5843331697701872,0.0,1.5843331697701872,0.0,-0.007812765448424557,0.4241989682970836,0.5,False,0.6651187878554394,54.79383619820534,0.13686522694347716,0.020998300053179264,0.020998300053179264,6.0,0.0042182732298301495,6.0,True,6.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_nominal,smoke_nominal,data_driven_debug,IPPO-GNN,IPPO-GNN,distributed_local,,,DEBUG_UNTRAINED_POLICY_REPAIR,9000,,15001,8,8,1.0,G-UNI,6.791152466024171,7.0,7,7.999999999999991,1,1.0,True,True,1.0,2.109260417632976,0.5249272478627889,0.006561590598284861,0.5249272478627889,0.5900662423796976,2.0,False,112,3584,0.005664799944497645,0.005664799944497645,0.0,0.0,0.005664799944497645,0.0009765625,0.0,0.519993588806728,0.0,5,0,,0,False,2c61e01e402866a5,2d2d83a550bf3507,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,3584.0,True,0,-1.0242865160181622,0.0002829000586643815,True,DEBUG_UNTRAINED_POLICY_REPAIR,-1.0242865160181622,,,0.0,1.5843331697701872,,,,True,0.006561590598284861,False,0.0,True,0.0,112.0,0.005664799944497645,1.2031190304729433,1.5843331697701872,0.0,1.5843331697701872,0.0,0.0,0.5708425122932083,0.25,False,1.030848106616447,84.05218169908595,1.2031190304729433,0.005664799944497645,0.005664799944497645,0.2,,0.2,True,0.2
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_nominal,smoke_nominal,data_driven_debug,MAPPO-GNN,MAPPO-GNN,distributed_local,,,DEBUG_UNTRAINED_POLICY_REPAIR,9000,,15002,8,8,1.0,G-UNI,6.791152466024171,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7394220892294538,0.15508891945926662,0.0019386114932408327,0.15508891945926662,0.5312297475986173,2.0,False,112,3584,0.004770600004121661,0.004770600004121661,0.0,0.0,0.004770600004121661,0.0009765625,0.0,0.13467452171871463,0.0,0,0,,0,False,2c61e01e402866a5,2d2d83a550bf3507,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,3584.0,True,0,-0.8782572238846318,0.00023359991610050201,True,DEBUG_UNTRAINED_POLICY_REPAIR,-0.8782572238846318,,,0.0,1.5843331697701872,,,,True,0.0019386114932408327,False,0.0,True,0.0,112.0,0.004770600004121661,1.06001119409579,1.5843331697701872,0.0,1.5843331697701872,0.0,0.0,0.49636698990573114,0.0,True,0.8801958353778726,72.0,1.06001119409579,0.004770600004121661,0.004770600004121661,0.2,,0.2,True,0.2
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,classic,HUN,HUN,centralized,,,EXACT,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7641884181877354,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.5694167018526369,0.0,False,64,2048,8.09994526207447e-06,8.09994526207447e-06,8.09994526207447e-06,3.00002284348011e-07,8.09994526207447e-06,0.0009765625,0.0,0.0,0.0,0,0,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,2048.0,False,0,0.0,0.0,True,EXACT,0.0,,,0.0,1.7641884181877359,,,,True,0.0,False,0.0,True,0.0,64.0,8.09994526207447e-06,0.9999999999999999,1.7641884181877359,3.00002284348011e-07,1.7641884181877359,8.09994526207447e-06,0.0,0.45647718264124426,,,,,0.9999999999999999,8.09994526207447e-06,8.09994526207447e-06,,,0.0,True,0.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,classic,GRD,GRD,distributed_global,,,POLICY,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.8647795445844344,0.10059112639669854,0.0012573890799587317,0.10059112639669854,0.5694167018526369,0.0,False,8,256,5.9999991208314896e-05,5.9999991208314896e-05,0.0,0.0,5.9999991208314896e-05,0.0009765625,0.0,0.06819606649797993,0.0,0,0,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,256.0,False,0,0.0012573890799587317,0.0,True,POLICY,0.0012573890799587317,,,0.0,1.7641884181877359,,,,True,0.0012573890799587317,False,0.0,True,0.0,8.0,5.9999991208314896e-05,1.036390835637264,1.7641884181877359,0.0,1.7641884181877359,0.0,0.0,0.47163441269917017,,,,,1.036390835637264,5.9999991208314896e-05,5.9999991208314896e-05,,,0.0,True,0.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,classic,EPS-AUCTION,EPS-AUCTION,distributed_global,,,POLICY,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7641884181877354,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.5694167018526369,0.0,False,228,7296,0.0003739000530913472,0.0003739000530913472,0.0,0.0,0.0003739000530913472,0.0009765625,0.0,0.0,0.0,0,0,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,7296.0,False,0,0.0,0.0,True,POLICY,0.0,,,0.0,1.7641884181877359,,,,True,0.0,False,0.0,True,0.0,228.0,0.0003739000530913472,0.9999999999999999,1.7641884181877359,0.0,1.7641884181877359,0.0,0.0,0.45647718264124426,,,,,0.9999999999999999,0.0003739000530913472,0.0003739000530913472,,,0.0,True,0.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,REP,REP,distributed_global,REP,LIN,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7965834780864545,0.0323950598987186,0.00040493824873398255,0.0323950598987186,0.5694167018526369,,True,3368,107776,0.011266299989074469,0.011266299989074469,0.0,0.0,0.011266299989074469,0.00152587890625,0.0,0.029117254064565445,0.8152484389331869,2,0,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,107776.0,True,8,-0.654586978583168,0.0003483999753370881,True,QR1,-0.654586978583168,False,False,0.16815361289657277,15.216477449913558,True,0.03881996779813148,replicator_support_conditioned_vector_field,True,-0.1677486746478388,False,0.0,True,0.005913046213360085,3368.0,0.011266299989074469,1.0117195556155167,1.7641884181877359,0.0,1.7641884181877359,0.0,0.004911223914333371,0.46768857255300433,0.25,True,0.654991916831902,54.163541764739904,0.17245320302908088,0.011266299989074469,0.011266299989074469,6.0,0.0019440253065607926,6.0,True,6.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,SMI,SMI,distributed_global,SMI,ASYM,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7965834780864545,0.0323950598987186,0.00040493824873398255,0.0323950598987186,0.5694167018526369,,True,3368,107776,0.01573019998613745,0.01573019998613745,0.0,0.0,0.01573019998613745,0.00152587890625,0.0,0.029117254064565445,0.6483000749566242,6,22,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,107776.0,True,8,-0.21439772992867098,0.00026540004182606936,True,QR1,-0.21439772992867098,False,False,0.22650246790809808,19.88438585083558,True,0.07856718457513226,smith_vector_field,True,-0.2260975296593641,False,-0.011432792528545122,True,0.0021935796317404943,3368.0,0.01573019998613745,1.0117195556155167,1.7641884181877359,0.0,1.7641884181877359,0.0,-0.011241180100263959,0.46768857255300433,0.75,True,0.21480266817740495,18.94840187238013,0.1339078629393626,0.01573019998613745,0.01573019998613745,6.0,0.003984375195757228,6.0,True,6.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,BNN,BNN,distributed_global,BNN,MC,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.939977150189368,0.17578873200163203,0.0021973591500204005,0.17578873200163203,0.6117627489660046,,True,3368,107776,0.020571200060658157,0.020571200060658157,0.0,0.0,0.020571200060658157,0.00152587890625,0.0,0.08290931086383857,0.5816550655135704,0,60,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,107776.0,True,8,-0.875750285622633,0.00036609999369829893,True,QR1,-0.875750285622633,False,False,0.37040633105225856,31.39669490236842,True,0.07733857894700708,bnn_excess_payoff_vector_field,True,-0.36820897190223817,False,-0.028052390248768155,True,-0.019506141703399926,3368.0,0.020571200060658157,1.063595061336985,1.7641884181877359,0.0,1.7641884181877359,0.0,-0.027740721970021864,0.5514069652833244,0.0,True,0.8779476447726534,72.0,0.090749292761171,0.020571200060658157,0.020571200060658157,6.0,0.00389769285515007,6.0,True,6.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,LOG,LOG,distributed_global,LOG,SIG,REPAIR,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.767466224021889,0.003277805834153158,4.0972572926914475e-05,0.003277805834153158,0.5694167018526369,,True,3368,107776,0.02465819998178631,0.02465819998178631,0.0,0.0,0.02465819998178631,0.00152587890625,0.0,0.003277805834153602,0.7817178707638318,10,0,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,107776.0,True,8,-0.44485064575093825,8.379993960261345e-05,True,REPAIR,-0.44485064575093825,False,False,0.11870969197207977,11.260963775954117,True,0.009168696482831917,target_logit_fixed_point,True,-0.11866871939915286,False,0.0,True,0.0037574437360601287,3368.0,0.02465819998178631,1.0011858112900647,1.7641884181877359,0.0,1.7641884181877359,0.0,0.0009127331867680688,0.45647718264124426,0.75,False,0.44489161832386515,37.35551788409695,0.22571359597761567,0.02465819998178631,0.02465819998178631,6.0,0.00048251731125098507,6.0,True,6.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,PROJ,PROJ,distributed_global,PROJ,QUAD,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7965834780864545,0.0323950598987186,0.00040493824873398255,0.0323950598987186,0.5694167018526369,,True,3368,107776,0.024330299929715693,0.024330299929715693,0.0,0.0,0.024330299929715693,0.00152587890625,0.0,0.029117254064565445,0.597574176045955,6,0,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,107776.0,True,8,-0.21439772992867098,0.00028000003658235073,True,QR1,-0.21439772992867098,False,False,0.23494261093400945,20.559597292908492,True,0.08745860528510674,projection_gradient_mapping,True,-0.23453767268527548,False,0.0,True,0.009163143581130573,3368.0,0.024330299929715693,1.0117195556155167,1.7641884181877359,0.0,1.7641884181877359,0.0,0.00273555335397053,0.46768857255300433,0.75,True,0.21480266817740495,18.94840187238013,0.12971408696053535,0.024330299929715693,0.024330299929715693,6.0,0.004443103221962175,6.0,True,6.0
SP0-v1.2-CPU,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,IBR,IBR,distributed_global,IBR,LIN,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.767466224021889,0.003277805834153158,4.0972572926914475e-05,0.003277805834153158,0.5694167018526369,,True,3368,107776,0.01187940000090748,0.01187940000090748,0.0,0.0,0.01187940000090748,0.00152587890625,0.0,0.003277805834153602,0.641880413835094,388,26,0.0,,,2c61e01e402866a5,1a9a72ebf6be647f,72418e13f1be,2026-07-11T12:41:59.125188+00:00,8,107776.0,True,8,-1.123694264911947,0.0003285999409854412,True,QR1,-1.123694264911947,False,False,0.06768327005192615,7.178850022341828,True,0.9825098630356078,inertial_best_response_fixed_point,True,-0.06764229747899923,False,-1.8830605279584358,True,0.19578108594246246,3368.0,0.01187940000090748,1.0011858112900647,1.7641884181877359,0.0,1.7641884181877359,0.0,-1.8187415834860048,0.45647718264124426,0.375,False,1.123735237484874,91.66300741697766,0.33836862351823493,0.01187940000090748,0.01187940000090748,6.0,0.29997512782880775,6.0,True,6.0
