experiment_id,scenario_generator,scenario_variant_id,communication_profile,seed,method,assigned_load_label,assigned_slot_label,assigned_to_selected_load,battery_fraction,final_x,final_y,force_limit_n,max_speed_mps,method_communication_dependency,method_comparison_group,method_family,method_ownership,method_scope,method_variant,path_length_m,payload_kg,robot_id,robot_index,start_x,start_y
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,classic_decentralized_sensor_apf,0,0,False,0.9154296075744772,-2.442666296053922,-4.678526883132972,91.98015070221562,0.801441038321815,low,baseline_classic_decentralized_low_communication,classic,baseline,decentralized,local_sensor_apf_low_comm,0.0,33.992664389949255,amr-05,5,-2.442666296053922,-4.678526883132972
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,classic_decentralized_sensor_apf,0,0,False,0.7726813729486363,-8.413479882046893,3.408238796237026,82.20197844011378,0.8246339661216797,low,baseline_classic_decentralized_low_communication,classic,baseline,decentralized,local_sensor_apf_low_comm,0.0,30.37899203221596,amr-06,6,-8.413479882046893,3.408238796237026
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,ours_connectivity_wrench_game,1,1,True,0.9295171832534624,0.973055875232975,1.4595636543342165,98.70769405900899,0.6572774083933349,low,proposed_model_based_decentralized_low_communication,model_based,proposed,decentralized,connectivity_aware_wrench_market_game,18.2232762395485,36.47893041311202,amr-01,1,-10.56,-6.200879114243737
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,ours_connectivity_wrench_game,1,2,True,0.9705627663968484,0.313046617663648,2.2338447920619466,91.41174752410963,0.6613645737759936,low,proposed_model_based_decentralized_low_communication,model_based,proposed,decentralized,connectivity_aware_wrench_market_game,17.811852330537196,33.7826023458666,amr-02,2,-10.56,-3.897289147489031
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,ours_connectivity_wrench_game,1,4,True,0.9478183609058082,2.554330891058612,4.294886139910031,85.75044787932329,0.7056936942344194,low,proposed_model_based_decentralized_low_communication,model_based,proposed,decentralized,connectivity_aware_wrench_market_game,22.048413294670894,31.690382911923823,amr-03,3,-9.440171499267105,-6.019720380070817
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,ours_connectivity_wrench_game,1,3,True,0.9284843174642645,2.8696302282604704,3.0530897741179865,103.49598807673966,0.6522743216403711,low,proposed_model_based_decentralized_low_communication,model_based,proposed,decentralized,connectivity_aware_wrench_market_game,18.614784472355066,38.24851733270814,amr-04,4,-8.758288184481943,-4.591928541934074
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,ours_connectivity_wrench_game,0,0,False,0.9154296075744772,-2.442666296053922,-4.678526883132972,91.98015070221562,0.801441038321815,low,proposed_model_based_decentralized_low_communication,model_based,proposed,decentralized,connectivity_aware_wrench_market_game,0.0,33.992664389949255,amr-05,5,-2.442666296053922,-4.678526883132972
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,ours_connectivity_wrench_game,2,1,False,0.7726813729486363,-8.413479882046893,3.408238796237026,82.20197844011378,0.8246339661216797,low,proposed_model_based_decentralized_low_communication,model_based,proposed,decentralized,connectivity_aware_wrench_market_game,0.0,30.37899203221596,amr-06,6,-8.413479882046893,3.408238796237026
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,reference_full_communication,0,0,False,0.9295171832534624,-10.56,-6.200879114243737,98.70769405900899,0.6572774083933349,high,reference_model_based_reference_centralized_high_communication,model_based_reference,reference,centralized,full_information_upper_reference,0.0,36.47893041311202,amr-01,1,-10.56,-6.200879114243737
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,reference_full_communication,1,2,True,0.9705627663968484,-2.660154435449215,0.5613024966266058,91.41174752410963,0.6613645737759936,high,reference_model_based_reference_centralized_high_communication,model_based_reference,reference,centralized,full_information_upper_reference,12.179381541284016,33.7826023458666,amr-02,2,-10.56,-3.897289147489031
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,reference_full_communication,1,3,True,0.9478183609058082,0.15644300017632468,1.0687989040398709,85.75044787932329,0.7056936942344194,high,reference_model_based_reference_centralized_high_communication,model_based_reference,reference,centralized,full_information_upper_reference,13.591422396912533,31.690382911923823,amr-03,3,-9.440171499267105,-6.019720380070817
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,reference_full_communication,1,1,True,0.9284843174642645,-1.9527602936821749,-0.3757776020166015,103.49598807673966,0.6522743216403711,high,reference_model_based_reference_centralized_high_communication,model_based_reference,reference,centralized,full_information_upper_reference,11.76124812922058,38.24851733270814,amr-04,4,-8.758288184481943,-4.591928541934074
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,reference_full_communication,1,4,True,0.9154296075744772,0.07391590547798761,2.106619825930386,91.98015070221562,0.801441038321815,high,reference_model_based_reference_centralized_high_communication,model_based_reference,reference,centralized,full_information_upper_reference,15.025727774358966,33.992664389949255,amr-05,5,-2.442666296053922,-4.678526883132972
SP7_DEBUG_smoke,setup,setup_relay_chain_seed8700,radius_4m_loss_delay,8700,reference_full_communication,2,1,False,0.7726813729486363,-8.413479882046893,3.408238796237026,82.20197844011378,0.8246339661216797,high,reference_model_based_reference_centralized_high_communication,model_based_reference,reference,centralized,full_information_upper_reference,0.0,30.37899203221596,amr-06,6,-8.413479882046893,3.408238796237026
